Date,Home Team,Home Score,Visitor Team,Visitor Score,Game ID,Points,Assists,Rebounds,Minutes,Threes,Steals,Blocks
2024-02-09 16:30:00,Boston Celtics,133,Washington Wizards,129,13291,4,6,2,33,0,3,1
2024-02-07 16:30:00,Boston Celtics,125,Atlanta Hawks,117,13277,21,7,6,35,5,1,1
2024-02-04 15:00:00,Boston Celtics,131,Memphis Grizzlies,91,13254,15,3,3,28,4,1,1
2024-02-01 16:30:00,Boston Celtics,105,Los Angeles Lakers,114,13232,9,6,4,33,1,0,2
2024-01-30 16:30:00,Boston Celtics,129,Indiana Pacers,124,13218,24,5,2,35,4,1,1
2024-01-29 16:30:00,Boston Celtics,118,New Orleans Pelicans,112,13207,17,4,1,35,4,1,1
2024-01-27 16:00:00,Boston Celtics,96,LA Clippers,115,13194,2,2,2,24,0,0,3
2024-01-25 16:30:00,Miami Heat,110,Boston Celtics,143,13178,15,6,6,29,3,0,2
2024-01-22 17:30:00,Dallas Mavericks,110,Boston Celtics,119,13159,6,1,4,34,1,2,1
2024-01-21 16:00:00,Houston Rockets,107,Boston Celtics,116,13151,21,3,11,36,3,0,2
2024-01-19 16:30:00,Boston Celtics,100,Denver Nuggets,102,13134,24,5,3,36,5,2,1
